model,queryname,mintime,maxtime,meantime,rowcount
mimic,Q01,692.98,1395.58,834.87,311122
mimic,Q02,533.88,1013.56,630.19,311122
mimic,Q03,378.15,705.24,445.97,311122
mimic,Q04,2346.36,2514.99,2385.79,311122
mimic,Q05,1094.83,1385.00,1155.91,311122
mimic,Q06,2609.43,2695.50,2632.44,311122
mimic,Q07,158.66,422.20,212.82,311122
mimic,Q08,847.99,1220.16,925.36,311122
mimic,Q09,213.71,396.74,251.26,311122
mimic,Q10,922.68,2075.79,1156.54,311122
mimic,Q11,895.69,1512.88,1020.76,311122
mimic,Q12,352.65,366.34,357.96,311122
mimic,Q13,2376.62,3185.97,2544.92,703893
