model,queryname,mintime,maxtime,meantime,rowcount
Entity,Q01,7079.75,8961.82,7656.03,311122
Entity,Q02,9239.26,9988.92,9517.67,311122
Entity,Q03,5091.93,6183.26,5318.09,311122
Entity,Q04,18214.92,19271.05,18682.25,311122
Entity,Q05,9871.09,19733.27,13145.06,311122
Entity,Q06,13751.17,15253.51,14306.73,311122
Entity,Q07,2414.94,3521.11,2673.65,311122
Entity,Q08,19316.04,20405.82,19658.33,311122
Entity,Q09,6522.44,7732.97,7090.23,311122
Entity,Q10,274.57,357.15,294.19,311122
Entity,Q11,15314.59,18059.92,16890.01,311122
Entity,Q12,308.03,314.70,310.94,311122
Entity,Q13,15880.74,19295.99,18043.43,703893
