model,queryname,mintime,maxtime,meantime,rowcount
Path-View,Q01,7024.42,7148.24,7097.46,311122
Path-View,Q02,8953.01,10030.20,9525.70,311122
Path-View,Q03,5084.24,5116.12,5100.10,311122
Path-View,Q04,18787.71,20473.43,19576.66,311122
Path-View,Q05,8730.12,9700.48,9225.67,311122
Path-View,Q06,12639.15,15006.92,13559.39,311122
Path-View,Q07,2456.94,2521.82,2490.56,311122
Path-View,Q08,19357.52,20585.85,19859.24,311122
Path-View,Q09,3357.91,3436.57,3397.96,311122
Path-View,Q10,216.62,219.37,217.79,311122
Path-View,Q11,16619.77,18246.87,17427.54,311122
Path-View,Q12,305.98,323.42,312.08,311122
Path-View,Q13,17364.22,18286.51,17834.10,703893
